iB,TC,chr,phase,dali11,dali22,dapi11,lethality
iB_00002,TC000021,LG3,I,20,20,10,Low
iB_00003,TC000029,LG3,I,0,50,10,Low
iB_00004,TC000040,LG3,I,100,100,80,Yes
iB_00005,TC000043,LG3,I,90,100,10,High
iB_00006,TC000047,LG3,I,80,100,0,Low
iB_00007,TC000049,LG3,I,10,100,40,Low
iB_00008,TC000054,LG3,I,10,100,30,Low
iB_00009,TC000056,LG3,I,20,30,10,Low
iB_00010,TC000065,LG3,I,100,100,50,Yes
iB_00011,TC000069,LG3,I,100,100,100,Yes
iB_00012,TC000070,LG3,I,10,30,50,Low
iB_00014,TC000078,LG3,I,0,100,50,Low
iB_00015,TC000082,LG3,I,50,100,10,Low
iB_00016,TC000085,LG3,I,0,0,20,Low
iB_00017,TC000087,LG3,I,30,90,30,Low
iB_00018,TC000088,LG3,I,0,0,100,Low
iB_00019,TC000091,LG3,I,10,10,100,Low
iB_00020,TC000095,LG3,I,0,10,0,Low
iB_00021,TC000101,LG3,I,30,30,0,Low
iB_00022,TC000108,LG3,I,20,100,0,Low
iB_00023,TC000109,LG3,I,30,100,30,Low
iB_00024,TC000114,LG3,I,0,0,50,Low
iB_00025,TC032473,LG3,I,20,80,40,Low
iB_00026,TC000144,LG3,I,100,100,100,Yes
iB_00027,TC000151,LG5,I,10,10,30,Low
iB_00028,TC000158,LG2,I,80,100,40,Low
iB_00029,TC000161,LG2,I,100,100,30,Yes
iB_00030,TC000162,LG2,I,0,20,0,Low
iB_00031,TC000165,LG2,I,100,100,100,Yes
iB_00032,TC000167,LG2,I,100,100,40,Yes
iB_00033,TC000170,LG2,I,0,0,0,Low
iB_00034,TC000175,LG2,I,10,20,10,Low
iB_00035,TC000179,LG2,I,90,90,40,High
iB_00036,TC000182,LG2,I,10,10,100,Low
iB_00037,TC000185,LG2,I,20,100,20,Low
iB_00038,TC000188,LG2,I,10,60,20,Low
iB_00039,TC000192,LG2,I,100,100,60,Yes
iB_00040,TC000196,LG2,I,40,50,10,Low
iB_00041,TC032264,LG2,I,10,10,30,Low
iB_00042,TC032258,LG2,I,0,10,20,Low
iB_00043,TC000209,LG2,I,0,10,20,Low
iB_00044,TC000219,LG2,I,90,100,10,High
iB_00045,TC000220,LG2,I,0,10,20,Low
iB_00046,TC000221,LG2,I,0,0,40,Low
iB_00047,TC000223,LG2,I,60,100,20,Low
iB_00048,TC000228,LG2,I,10,20,20,Low
iB_00049,TC000234,LG2,I,10,10,0,Low
iB_00050,TC000238,LG2,I,100,100,10,Yes
iB_00051,TC000247,LG2,I,0,0,60,Low
iB_00052,TC000249,LG2,I,0,10,20,Low
iB_00053,TC000258,LG2,I,100,100,100,Yes
iB_00054,TC000267,LG2,I,70,100,20,Low
iB_00055,TC000271,LG2,I,100,100,100,Yes
iB_00056,TC000272,LG2,I,20,20,10,Low
iB_00057,TC000275,LG2,I,0,10,40,Low
iB_00058,TC000282,LG2,I,10,10,0,Low
iB_00060,TC000291,LG2,I,20,20,10,Low
iB_00061,TC000292,LG2,I,10,10,30,Low
iB_00062,TC000297,LG2,I,90,100,70,High
iB_00063,TC032227,LG2,I,100,100,100,Yes
iB_00064,TC000302,LG2,I,0,0,10,Low
iB_00065,TC000304,LG2,I,0,0,50,Low
iB_00066,TC000308,LG2,I,20,20,40,Low
iB_00067,TC032222,LG2,I,10,100,0,Low
iB_00068,TC000315,LG2,I,0,10,30,Low
iB_00069,TC000316,LG2,I,10,60,0,Low
iB_00070,TC000317,LG2,I,10,10,0,Low
iB_00072,TC000321,LG2,I,20,30,10,Low
iB_00073,TC000326,LG2,I,0,0,30,Low
iB_00074,TC000331,LG2,I,0,62.5,0,Low
iB_00075,TC000334,LG2,I,0,0,10,Low
iB_00076,TC000335,LG2,I,20,20,30,Low
iB_00077,TC000349,LG2,I,20,20,0,Low
iB_00078,TC000357,LG2,I,20,20,70,Low
iB_00080,TC000373,LG2,I,80,100,60,Low
iB_00081,TC000379,LG2,I,0,0,30,Low
iB_00082,TC032198,LG2,I,60,100,10,Low
