Trinity,XM,E,length,chr,OG,TC,Chromosome/scaffold name,Gene start (bp),Transcript length (including UTRs and CDS),Gene % GC content,Transcript count,Gene description,iB,Gene_Location,phase,dali11,lethality,sex,chrom_num,chrom_name,Tcas_Robust_TMM,Tcas_ancestral_node,Tcas_Robust_ACE,Tcas_Robust_log2(Current:Ancestral),Tcas_Robust(Current:Ancestral),Tcas_abs(Current-Ancestral),Tcon-M-ACE-R-Robust-mean(current),Tcon-ancestral-node,Tcon_robust_ACE,Tcon_Robust(Current:Ancestral),Tcon_Robust_log2(Current:Ancestral),Tcon_abs(Current-Ancestral),Tfrem_Robust_TMM,Tfrem_ancestral_node,Tfrem_Robust_ACE,Tfrem_Robust(Current:Ancestral),Tfrem_Robust_log2(Current:Ancestral),Tfrem_abs(Current-Ancestral),Tbrev_Robust_TMM,Tbrev_ancestral_node,Tbrev_Robust_ACE,Tbrev_Robust(Current:Ancestral),Tbrev_Robust_log2(Current:Ancestral),Tbrev_abs(Current-Ancestral),Gcorn_Robust_TMM,Gcorn_ancestral_node,Gcorn_Robust_ACE,Gcorn_Robust(Current:Ancestral),Gcorn_Robust_log2(Current:Ancestral),Gcorn_abs(Current-Ancestral)
T_cast_DN1_c1_g2_i1.p1.p1,XM_961340.3,0,1476,LG8,OG0012122,TC015978,LG8,167397,1742,42.78,1,Aldehyde dehydrogenase [Source:UniProtKB/TrEMBL;Acc:D6WYB9],iB_05936,LG8,II,50,low,Male,LG8,Autosome,3.51826502,D_Tfree-Tcast_anc,3.26113949,0.10948801,1.0788453,0.25712553,2.150575662,C_Tconf_anc,3.170321182,0.678346306,-0.559906117,1.01974552,3.028191923,D_Tfree-Tcast_anc,3.261139489,0.928568659,-0.106919506395479,0.232947566,3.78023994,B_Tbrev_anc,3.459790605,1.09262102,0.127793083318862,0.320449335,5.050685928,A_MRCA,3.818353599,1.322739185,0.403528622383048,1.23233233
T_cast_DN1000_c0_g1_i10.p1.p1,XM_015979484.1,0,2439,LG4,OG0010050,TC007147,LG4,8613479,3079,36.53,1,,iB_04284,LG4,I,10,low,Male,LG4,Autosome,0.18202025,D_Tfree-Tcast_anc,0.51045477,-1.4876842,0.35658448,0.32843452,1.064179645,C_Tconf_anc,1.034687395,1.028503536,0.040546754,0.02949225,0.699326249,D_Tfree-Tcast_anc,0.510454766,1.370006307,0.454182535098549,0.188871483,2.308635049,B_Tbrev_anc,1.237629198,1.865368928,0.899460990936636,1.071005851,0.812014925,A_MRCA,1.141702379,0.711231701,-0.491608465744937,0.329687454
T_cast_DN1001_c0_g1_i1.p1.p1,XM_008192839.2,0,2460,LG3,OG0010832,TC003562,LG3,7535939,2697,38.6,1,Serrate RNA effector molecule homolog-like Protein [Source:UniProtKB/TrEMBL;Acc:D6WHS3],iB_03579,LG3,I,100,high,Male,LG3,Autosome,2.35209291,D_Tfree-Tcast_anc,2.24171228,0.06934393,1.04923943,0.11038063,2.205524994,C_Tconf_anc,2.168765792,1.016949365,0.024247847,0.036759202,2.150751719,D_Tfree-Tcast_anc,2.241712281,0.959423624,-0.0597601317705573,0.090960561,2.096391031,B_Tbrev_anc,2.127452734,0.98539958,-0.0212192378800825,0.031061703,1.873685076,A_MRCA,2.070257461,0.905049304,-0.143931706679575,0.196572386
T_cast_DN10020_c0_g1_i5.p1.p1,XM_008202856.2,0,657,LG2,OG0014681,TC000996,LG2,9496538,994,36.41,1,,iB_07303,LG2,II/III,60,low,Male,LG2,"LG2,Neo-X",0.12891412,D_Tfree-Tcast_anc,0.11458062,0.17004718,1.12509528,0.01433349,0.143590372,C_Tconf_anc,0.139009076,1.032956812,0.046779936,0.004581296,0.093743697,D_Tfree-Tcast_anc,0.11458062,0.818146185,-0.289569449930287,0.020836923,0.176065727,B_Tbrev_anc,0.147439799,1.194153333,0.255988094951616,0.028625928,0.158647069,A_MRCA,0.149965743,1.057888732,0.0811878931304074,0.008681327
T_cast_DN1004_c0_g1_i1.p1.p1,XM_966263.3,0,1176,LG8,OG0014690,TC006223,LG8,5355468,1376,34.04,1,Platelet-activating factor acetylhydrolase-like Protein [Source:UniProtKB/TrEMBL;Acc:D6WVH4],iB_04092,LG8,I,0,low,Male,LG8,Autosome,1.0965223,D_Tfree-Tcast_anc,1.20666155,-0.1380859,0.908724,0.11013924,0.447086097,C_Tconf_anc,1.189709399,0.375794373,-1.411984632,0.742623302,1.321313847,D_Tfree-Tcast_anc,1.206661546,1.095016123,0.130952111666518,0.114652301,1.78698158,B_Tbrev_anc,1.420439867,1.258048032,0.331187005593996,0.366541713,2.486196615,A_MRCA,1.660644816,1.497127255,0.582196855034322,0.825551799
T_cast_DN10041_c0_g1_i1.p1.p1,XM_962917.3,0,1050,LG5,OG0014888,TC010925,LG5,1364340,1191,33.8,1,Nucleoporin Nup43-like Protein [Source:UniProtKB/TrEMBL;Acc:D6WMU7],iB_07270,LG5,II/III,20,low,Male,LG5,Autosome,0.51828296,D_Tfree-Tcast_anc,0.64298399,-0.3110429,0.80605888,0.12470104,0.651406134,C_Tconf_anc,0.596217439,1.09256471,0.12771873,0.055188695,0.780135385,D_Tfree-Tcast_anc,0.642983993,1.21330452,0.278941689111609,0.137151392,0.565223618,B_Tbrev_anc,0.559614011,1.010024064,0.0143896661919715,0.005609607,0.274454246,A_MRCA,0.495343448,0.554068592,-0.851863507081433,0.220889201
T_cast_DN1005_c0_g1_i3.p1.p1,XM_968952.4,0,1278,LG5,OG0010783,TC014413,LG5,10219527,1618,40.14,1,ATP-dependent RNA helicase WM6-like Protein [Source:UniProtKB/TrEMBL;Acc:D6WLU7],iB_05628,LG5,I,100,high,Male,LG5,Autosome,5.89213519,D_Tfree-Tcast_anc,5.48443715,0.10344696,1.07433726,0.40769803,4.963921579,C_Tconf_anc,4.876882952,1.017847184,0.025520977,0.087038627,5.238484313,D_Tfree-Tcast_anc,5.484437153,0.955154406,-0.0661941227258791,0.24595284,3.023046752,B_Tbrev_anc,4.602902428,0.656769679,-0.606540570216069,1.579855676,5.421386768,A_MRCA,4.787376033,1.13243387,0.179426804562291,0.634010735
T_cast_DN10055_c0_g1_i1.p1.p1,XM_001813078.3,0,1557,LGX,OG0014560,TC004598,LGX,6848958,2025,31.76,1,Hormone receptor in 78-like protein [Source:UniProtKB/TrEMBL;Acc:D6W819],iB_10462,LG8,III,20,low,Male,LGX,X,0.65196942,D_Tfree-Tcast_anc,0.62007574,0.07235987,1.05143515,0.03189369,0.364518115,C_Tconf_anc,0.530974871,0.68650728,-0.542653076,0.166456756,0.611902792,D_Tfree-Tcast_anc,0.620075736,0.986819442,-0.0191419548140041,0.008172944,0.614030096,B_Tbrev_anc,0.548135135,1.120216633,0.163777754672387,0.06589496,0.557057522,A_MRCA,0.550146102,1.012562881,0.0180115038395808,0.00691142
T_cast_DN10071_c0_g1_i7.p1.p1,XM_008201531.2,0,999,LG7,OG0011667,TC009754,LG7,7365137,1313,32.64,2,Fatty acid 2-hydroxylase-like Protein [Source:UniProtKB/TrEMBL;Acc:A0A139WEB0],iB_07342,LG7,II,50,low,Male,LG7,Autosome,2.48744234,D_Tfree-Tcast_anc,1.93507727,0.36227191,1.28544859,0.55236507,0.578952873,C_Tconf_anc,1.257084663,0.460552014,-1.118563995,0.67813179,1.563209749,D_Tfree-Tcast_anc,1.935077269,0.807828077,-0.307879805916418,0.371867521,0.982424537,B_Tbrev_anc,1.19938002,0.819110308,-0.287870345641645,0.216955483,1.160948976,A_MRCA,1.190718262,0.974998884,-0.0365275275307506,0.029769286
T_cast_DN1008_c0_g1_i15.p2.p1,XM_962653.3,0,618,LG5,OG0010331,TC013206,LG5,12322779,728,38.46,1,Mitotic spindle assembly checkpoint protein Mad2 [Source:UniProtKB/TrEMBL;Acc:D6WMW7],iB_09114,LG5,II,0,low,Male,LG5,Autosome,0.11218488,D_Tfree-Tcast_anc,0.16292855,-0.5383612,0.68855264,0.05074367,0.183941972,C_Tconf_anc,0.196567135,0.935771751,-0.095771417,0.012625163,0.204716838,D_Tfree-Tcast_anc,0.162928551,1.256482284,0.329390330228618,0.041788287,0.347367803,B_Tbrev_anc,0.214234183,1.621439665,0.697275341425762,0.133133619,0.104540043,A_MRCA,0.189510835,0.551630954,-0.858224680187335,0.084970792
