Trinity,XM,E,length,chr,OG,TC,Chromosome/scaffold name,Gene start (bp),Transcript length (including UTRs and CDS),Gene % GC content,Transcript count,Gene description,iB,Gene_Location,phase,dali11,lethality,sex,chrom_num,chrom_name,Tcas_Robust_TMM,Tcas_ancestral_node,Tcas_Robust_ACE,Tcas_Robust_log2(Current:Ancestral),Tcas_Robust(Current:Ancestral),Tcas_abs(Current-Ancestral),Tcon-F-ACE-R-Robust-mean(current),Tcon-ancestral-node,Tcon_robust_ACE,Tcon_Robust(Current:Ancestral),Tcon_Robust_log2(Current:Ancestral),Tcon_abs(Current-Ancestral),Tfrem_Robust_TMM,Tfrem_ancestral_node,Tfrem_Robust_ACE,Tfrem_Robust(Current:Ancestral),Tfrem_Robust_log2(Current:Ancestral),Tfrem_abs(Current-Ancestral),Tbrev_Robust_TMM,Tbrev_ancestral_node,Tbrev_Robust_ACE,Tbrev_Robust(Current:Ancestral),Tbrev_Robust_log2(Current:Ancestral),Tbrev_abs(Current-Ancestral),Gcorn_Robust_TMM,Gcorn_ancestral_node,Gcorn_Robust_ACE,Gcorn_Robust(Current:Ancestral),Gcorn_Robust_log2(Current:Ancestral),Gcorn_abs(Current-Ancestral)
T_cast_DN1_c1_g2_i1.p1.p1,XM_961340.3,0,1476,LG8,OG0012122,TC015978,LG8,167397,1742,42.78,1,Aldehyde dehydrogenase [Source:UniProtKB/TrEMBL;Acc:D6WYB9],iB_05936,LG8,II,50,low,Female,LG8,Autosome,2.81450708,D_Tfree-Tcast_anc,2.97987385,-0.082369,0.94450545,0.16536677,2.695076684,C_Tconf_anc,3.142548639,0.857608583,-0.221608751,0.447471955,3.101932774,D_Tfree-Tcast_anc,2.979873852,1.040961104,0.0579161622725492,0.122058922,3.560598112,B_Tbrev_anc,3.351617752,1.062352087,0.087261986061779,0.208980361,4.541541684,A_MRCA,3.619808047,1.254636054,0.327268926391318,0.921733637
T_cast_DN1000_c0_g1_i10.p1.p1,XM_015979484.1,0,2439,LG4,OG0010050,TC007147,LG4,8613479,3079,36.53,1,,iB_04284,LG4,I,10,low,Female,LG4,Autosome,0.73015425,D_Tfree-Tcast_anc,0.71321623,0.03386175,1.02374879,0.01693802,1.429206236,C_Tconf_anc,1.26944735,1.125849163,0.171013553,0.159758886,0.548196423,D_Tfree-Tcast_anc,0.713216231,0.768625839,-0.379646619301922,0.165019807,2.494224106,B_Tbrev_anc,1.443674338,1.727691654,0.788845758709375,1.050549767,0.839614034,A_MRCA,1.307528567,0.642138195,-0.639044280693176,0.467914533
T_cast_DN1001_c0_g1_i1.p1.p1,XM_008192839.2,0,2460,LG3,OG0010832,TC003562,LG3,7535939,2697,38.6,1,Serrate RNA effector molecule homolog-like Protein [Source:UniProtKB/TrEMBL;Acc:D6WHS3],iB_03579,LG3,I,100,high,Female,LG3,Autosome,2.11018486,D_Tfree-Tcast_anc,1.86587938,0.17751366,1.13093316,0.24430548,0.97645451,C_Tconf_anc,1.608639555,0.607006403,-0.72021636,0.632185045,1.690057178,D_Tfree-Tcast_anc,1.865879377,0.905769794,-0.142783667083143,0.175822199,2.273287719,B_Tbrev_anc,1.706690326,1.331986058,0.413578981916524,0.566597394,1.411578389,A_MRCA,1.640176698,0.860625804,-0.216541998360614,0.228598309
T_cast_DN10020_c0_g1_i5.p1.p1,XM_008202856.2,0,657,LG2,OG0014681,TC000996,LG2,9496538,994,36.41,1,,iB_07303,LG2,II/III,60,low,Female,LG2,"LG2,Neo-X",0.05961335,D_Tfree-Tcast_anc,0.0787914,-0.4024029,0.75659708,0.01917806,0.191773499,C_Tconf_anc,0.137383812,1.395895887,0.481191342,0.054389687,0.082370788,D_Tfree-Tcast_anc,0.078791404,1.0454286,0.0640945334531283,0.003579383,0.170881576,B_Tbrev_anc,0.143719158,1.188996504,0.249744473013415,0.027162418,0.14185168,A_MRCA,0.143298257,0.989905132,-0.0146378237664085,0.001446577
T_cast_DN1004_c0_g1_i1.p1.p1,XM_966263.3,0,1176,LG8,OG0014690,TC006223,LG8,5355468,1376,34.04,1,Platelet-activating factor acetylhydrolase-like Protein [Source:UniProtKB/TrEMBL;Acc:D6WVH4],iB_04092,LG8,I,0,low,Female,LG8,Autosome,0.78861601,D_Tfree-Tcast_anc,0.93716061,-0.2489733,0.84149504,0.1485446,0.571178131,C_Tconf_anc,1.115965656,0.511824113,-0.966279979,0.544787525,1.038103113,D_Tfree-Tcast_anc,0.93716061,1.107710996,0.147581528720096,0.100942503,1.319423235,B_Tbrev_anc,1.362705045,0.968238314,-0.0465659102960113,0.043281809,3.294889311,A_MRCA,1.798189243,1.832337349,0.873685140738754,1.496700068
T_cast_DN10041_c0_g1_i1.p1.p1,XM_962917.3,0,1050,LG5,OG0014888,TC010925,LG5,1364340,1191,33.8,1,Nucleoporin Nup43-like Protein [Source:UniProtKB/TrEMBL;Acc:D6WMU7],iB_07270,LG5,II/III,20,low,Female,LG5,Autosome,0.66813699,D_Tfree-Tcast_anc,0.675048,-0.0148462,0.98976219,0.00691102,0.870217478,C_Tconf_anc,0.659803632,1.31890374,0.399339274,0.210413846,0.686017425,D_Tfree-Tcast_anc,0.675048001,1.016249843,0.0232551289569421,0.010969424,0.444658242,B_Tbrev_anc,0.586307092,0.75840502,-0.39895958051074,0.14164885,0.292142603,A_MRCA,0.520007004,0.56180513,-0.831858296666523,0.227864402
T_cast_DN1005_c0_g1_i3.p1.p1,XM_968952.4,0,1278,LG5,OG0010783,TC014413,LG5,10219527,1618,40.14,1,ATP-dependent RNA helicase WM6-like Protein [Source:UniProtKB/TrEMBL;Acc:D6WLU7],iB_05628,LG5,I,100,high,Female,LG5,Autosome,4.38717642,D_Tfree-Tcast_anc,5.02061139,-0.1945703,0.8738331,0.63343498,5.419984389,C_Tconf_anc,4.833644688,1.121303848,0.165177269,0.586339701,5.703821299,D_Tfree-Tcast_anc,5.020611394,1.136081017,0.184065721279192,0.683209906,2.792052215,B_Tbrev_anc,4.570304455,0.610911646,-0.71096435274982,1.77825224,5.829939163,A_MRCA,4.854206472,1.201007661,0.264245354172232,0.975732691
T_cast_DN10055_c0_g1_i1.p1.p1,XM_001813078.3,0,1557,LGX,OG0014560,TC004598,LGX,6848958,2025,31.76,1,Hormone receptor in 78-like protein [Source:UniProtKB/TrEMBL;Acc:D6W819],iB_10462,LG8,III,20,low,Female,LGX,X,0.62110833,D_Tfree-Tcast_anc,0.60502183,0.03785772,1.0265883,0.0160865,0.388118918,C_Tconf_anc,0.519938715,0.74647051,-0.421842829,0.131819797,0.611586447,D_Tfree-Tcast_anc,0.605021827,1.01085022,0.0155692455478904,0.00656462,0.589582484,B_Tbrev_anc,0.527644755,1.117385283,0.160126723470963,0.061937729,0.472756895,A_MRCA,0.515273888,0.917486615,-0.124240984485773,0.042516993
T_cast_DN10071_c0_g1_i7.p1.p1,XM_008201531.2,0,999,LG7,OG0011667,TC009754,LG7,7365137,1313,32.64,2,Fatty acid 2-hydroxylase-like Protein [Source:UniProtKB/TrEMBL;Acc:A0A139WEB0],iB_07342,LG7,II,50,low,Female,LG7,Autosome,1.19961826,D_Tfree-Tcast_anc,1.19391214,0.00687872,1.00477935,0.00570612,0.648811293,C_Tconf_anc,0.951810115,0.681660431,-0.552874855,0.302998822,1.252659259,D_Tfree-Tcast_anc,1.193912139,1.049205564,0.0692973639311531,0.058747121,0.878882445,B_Tbrev_anc,0.95067225,0.92448522,-0.113277839511711,0.071789806,1.072834823,A_MRCA,0.978205789,1.096737348,0.133218063887378,0.094629034
T_cast_DN1008_c0_g1_i15.p2.p1,XM_962653.3,0,618,LG5,OG0010331,TC013206,LG5,12322779,728,38.46,1,Mitotic spindle assembly checkpoint protein Mad2 [Source:UniProtKB/TrEMBL;Acc:D6WMW7],iB_09114,LG5,II,0,low,Female,LG5,Autosome,0.06536052,D_Tfree-Tcast_anc,0.13196224,-1.0136337,0.49529717,0.06660171,0.180742122,C_Tconf_anc,0.1673379,1.080102725,0.111168529,0.013404222,0.189146117,D_Tfree-Tcast_anc,0.131962236,1.433335197,0.519376035312983,0.057183881,0.261919784,B_Tbrev_anc,0.177380722,1.476596674,0.562275813943052,0.084539062,0.098894712,A_MRCA,0.1596912,0.619287176,-0.69131952327066,0.060796488
